,Palavras,Frequência
122,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,1
123,going sao mu today done,1
124,ü predict wat time ü finish buying,1
125,good stuff,1
126,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,1
127,room,1
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,1
129,k k much cost,1
130,home,2
131,dear call tmorrow pls accomodate,1
132,first answer question,1
133,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr £ sp tyrone,2
134,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt eca p msg p,1
135,haf msn yijue hotmail com,1
136,call meet,1
137,check rooms befor activities,3
138,rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,1
139,got c lazy type forgot ü lect saw pouch like v nice,1
140,k text way,1
141,sir waiting mail,2
142,swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni,1
143,know pls open back,1
144,yes see ya dot,1
145,whats staff name taking class us,1
146,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,1
147,ummma call check life begin qatar pls pray hard,1
148,k deleted contact,1
149,sindu got job birla soft,1
150,wine flowing nevering,1
151,yup thk cine better cos need go plaza mah,1
152,ok ur typical reply,1
153,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one,1
154,aaooooright work,1
155,leaving house,2
156,hello love get interview today happy good boy think missing,1
157,customer service annoncement new years delivery waiting please call arrange delivery,1
158,winner u specially selected receive £ cash * holiday flights inc speak live operator claim,2
159,keep safe need miss already envy everyone see real life,1
160,new car house parents new job hand,1
161,love excited day spend make happy,1
162,pls stop bootydelious f inviting friend reply yes see www sms ac u bootydelious stop send stop frnd,1
163,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu,1
164,place ur points e cultures module already,1
165,urgent trying contact last weekends draw shows £ prize guaranteed call claim code valid hrs,1
166,hi frnd best way avoid missunderstding wit beloved one,1
167,great escape fancy bridge needs lager see tomo,1
168,yes completely form clark also utter waste,2
169,sir need axis bank account bank address,1
170,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,1
171,time coming later,1
172,bloody hell cant believe forgot surname mr ill give u clue spanish begins,1
173,well gonna finish bath good fine night,1
174,let know got money carlos make call,1
175,u still going mall,1
176,turns friends staying whole show back til ~ lt gt feel free go ahead smoke lt gt worth,1
177,text doesnt reply let know log,1
178,hi spoke maneesha v like know satisfied experience reply toll free yes,3
179,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,1
180,lol u trust,1
181,ok gentleman treat dignity respect,1
182,guys close,1
183,going nothing great bye,1
184,hello handsome finding job lazy working towards getting back net mummy boytoy miss,1
185,haha awesome minute,1
186,please call customer service representative freephone pm guaranteed £ cash £ prize,4
187,got xmas radio times get,1
188,jus reached home go bathe first sis using net tell u finishes k,1
189,unique enough find th august www areyouunique co uk,1
190,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,1
191,hi finally completed course,1
192,stop however suggest stays someone able give ors every stool,1
193,hope settled new school year wishin gr day,2
194,gud mrng dear hav nice day,3
195,u got persons story,3
196,hamster dead hey tmr meet pm orchard mrt,1
197,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,1
198,found enc lt gt,1
199,sent lt gt bucks,1
200,hello darlin ive finished college txt u finish u love kate xxx,1
201,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,2
202,goodmorning sleeping ga,1
203,u call alter ok,1
204,ü say like dat dun buy ericsson oso cannot oredi lar,1
205,aight yo dats straight dogg,1
206,please give us connection today lt decimal gt refund bill,1
207,shoot big loads get ready,1
208,bruv hope great break rewarding semester,1
209,home always chat,1
210,k k good study well,1
211,yup ü noe leh,1
212,sounds great home,1
213,finally match heading towards draw prediction,1
214,tired slept well past nights,1
215,easy ah sen got selected means good,2
216,take exam march,2
217,yeah think use gt atm register sure anyway help let know sure ready,1
218,ok prob take ur time,1
219,os called ubandu run without installing hard disk use os copy important files system give repair shop,1
220,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,1
221,new mobiles must go txt nokia collect today £ www tc biz optout gbp mtmsg,1
222,would really appreciate call need someone talk,1
223,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,1
224,hey company elama po mudyadhu,1
225,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,1
226,dear good morning,1
227,get gandhipuram walk cross cut road right side lt gt street road turn first right,1
228,dear going rubber place,1
229,sorry battery died yeah,1
230,yes tv always available work place,2
231,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight pence,1
232,printed oh lt gt come upstairs,1
233,ill little closer like bus stop street,1
234,wil reach,1
235,new theory argument wins situation loses person dont argue ur friends kick amp say always correct,3
236,u secret admirer looking make contact u find r*reveal thinks ur special call,6
237,tomarrow final hearing laptop case cant,1
238,pleassssssseeeeee tel v avent done sportsx,1
239,okay shining meant signing sounds better,1
240,although told u dat baig face watches really like e watch u gave cos fr u thanx everything dat u done today touched,1
241,u remember old commercial,1
242,late said website dont slippers,1
243,asked call ok,1
244,kallis wont bat nd innings,1
245,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,1
246,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew comwinppmxage,2
247,ranjith cal drpd deeraj deepak min hold,2
248,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,4
249,,8
250,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff,1
251,back lemme know ready,1
252,necessarily expect done get back though headin,1
253,mmm yummy babe nice jolt suzy,1
254,lover need,1
255,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,2
256,i‘m parked next mini coming today think,1
257,yup,3
258,anyway going shopping cos sis done yet dun disturb u liao,1
259,luton ring ur around h*,1
260,hey really horny want chat see naked text hot text charged pm unsubscribe text stop,1
261,dint come us,1
262,wana plan trip sometme,1
263,sure yet still trying get hold,1
264,ur ringtone service changed free credits go clubmobiles com choose content stop txt club stop p wk club po box mk wt,1
265,evo download flash jealous,1
266,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,1
267,come mu sorting narcotics situation,1
268,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,1
269,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com,3
270,usf guess might well take car,1
271,objection bf coming,1
272,thanx,1
273,tell rob mack gf theater,1
274,awesome see bit,1
275,sent type food like,1
276,done handed celebrations full swing yet,1
277,got called tool,1
278,wen u miss someone person definitely special u person special miss keep touch gdeve,1
279,ok asked money far,1
280,okie,7
281,yeah think usual guy still passed last night get ahold anybody let know throw,1
282,k might come tonight class lets early,1
283,ok,20
284,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,1
285,life means lot love life love people life world calls friends call world ge,2
286,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense,1
287,hey told name gautham ah,1
288,haf u found feel stupid da v cam working,1
289,oops got bit,1
290,much buzy,3
291,accidentally deleted message resend please,1
292,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfeb c apply,1
293,unless situation go gurl would appropriate,1
294,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,2
295,cant pick phone right pls send message,12
296,need coffee run tomo believe time week already,1
297,awesome remember last time got somebody high first time diesel v,1
298,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,1
299,oh way food fridge want go meal tonight,1
300,womdarfull actor,1
301,sms ac blind date u rodds aberdeen united kingdom check http img sms ac w icmbcktzr blind dates send hide,1
302,yup remb think book,1
303,jos ask u wana meet,1
304,lol yes friendship hanging thread cause u buy stuff,1
305,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap,1
306,garage keys bookshelf,1
307,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,3
308,think ur smart win £ week weekly quiz text play cs winnersclub po box uz gbp week,1
309,says give call friend got money definitely buying end week,1
310,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost,1
311,made day great day,1
312,k k advance happy pongal,1
313,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,1
314,really dude friends afraid,1
315,december mobile mths entitled update latest colour camera mobile free call mobile update co free,3
316,coffee cake guess,1
317,merry christmas babe love ya *kisses*,1
318,hey dont go watch x men lunch haha,1
319,cud u tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x,1
320,would great guild could meet bristol road somewhere get touch weekend plans take flight good week,1
321,problem,1
322,hi da todays class,1
323,say good sign well know track record reading women,1
324,cool text parked,1
325,reading text sent meant joke read light,1
326,k k apo k good movie,1
327,maybe could get book tomo return immediately something,1
328,call germany pence per minute call fixed line via access number prepayment direct access,1
329,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,1
330,valentines day special win £ quiz take partner trip lifetime send go p msg rcvd custcare,2
331,ta daaaaa home babe still,1
332,cool come havent wined dined,1
333,sleeping surfing,3
334,u calling right call hand phone,1
335,ok great thanx lot,1
336,take post come must texts happy reading one wiv hello caroline end favourite bless,1
337,u hiding stranger,1
338,interested like,1
339,sister cleared two round birla soft yesterday,1
340,gudnite tc practice going,2
341,dis yijue jus saw ur mail case huiming havent sent u num dis num,1
342,one small prestige problem,1
343,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x,1
344,checking really miss seeing jeremiah great month,1
345,nah help never iphone,1
346,car hour half going apeshit,1
347,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good,2
348,yo guys ever figure much need alcohol jay trying figure much safely spend weed,1
349,lt gt ish minutes minutes ago wtf,1
350,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,1
351,ur cash balance currently pounds maximize ur cash send cash p msg cc hg suite lands row wjhl,1
352,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,1
353,hello got st andrews boy long way cold keep posted,1
354,ha ha cool cool chikku chikku db,1
355,oh ok prob,1
356,check audrey status right,1
357,busy trying finish new year looking forward finally meeting,1
358,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,1
359,well know z take care worries,1
360,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptout fq=,1
361,discount code rp stop messages reply stop www regalportfolio co uk customer services,1
362,wat uniform get,1
363,cool text ready,1
364,hello boytoy geeee miss already woke wish bed cuddling love,1
365,spoil bed well,1
366,going bath msg next lt gt min,1
367,cant keep talking people sure pay agree price pls tell want really buy much willing pay,1
368,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services,1
369,say happen,1
370,could seen recognise face,1
371,well lot things happening lindsay new years *sighs* bars ptbo blue heron something going,1
372,keep payasam rinu brings,1
373,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,1
374,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin,1
375,yeah sure give couple minutes track wallet,1
376,hey leave big deal take care,1
377,hey late ah meet,1
378,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd calloptout ndx,2
379,took mr owl licks,1
380,customer place call,2
381,mm time dont like fun,1
382,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt,2
383,yup lunch buffet u eat already,1
384,huh late fr dinner,1
385,hey sat going intro pilates kickboxing,1
386,morning ok,1
387,yes think office lap room think thats last days didnt shut,1
388,pick bout ish time going,1
389,performance award calculated every two month current one month period,1
390,actually sleeping still might u call back text gr rock sis send u text wen wake,1
391,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated,1
392,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,1
393,hmmm k want change field quickly da wanna get system administrator network administrator,1
394,free ringtone text first poly text get true tone help st free tones x£pw e£nd txt stop,1
395,dear chechi talk,1
396,hair cream shipped,1
397,none happening til get though,1
398,yep great loxahatchee xmas tree burning lt gt starts hour,1
399,haha get used driving usf man know lot stoners,1
400,well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always,1
401,hello good week fancy drink something later,1
402,headin towards busetop,1
403,message text missing* sender name missing* *number missing *sent date missing *missing u lot thats everything missing sent via fullonsms com,2
404,come room point iron plan weekend,1
405,cos want thing,1
406,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,1
407,bring home wendy =d,1
408,dating service cal l boxskch,1
409,whatsup dont u want sleep,2
410,alright new goal,1
411,free entry £ weekly competition text word win c www txttowin co uk,1
412,alright head minutes text meet,1
413,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ads p,2
414,yes last week taking live call,1
415,someone contacted dating service entered phone fancy find call landline poboxntfp,1
416,siva hostel aha,1
417,urgent mobile number awarded £ prize guaranteed call land line claim valid hrs,2
418,send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply,1
419,ok ok guess,1
420,aathi dear,3
421,pain urination thing else,1
422,esplanade ü mind giving lift cos got car today,1
423,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob,3
424,home watching tv lor,1
425,usually take fifteen fucking minutes respond yes question,1
426,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx,2
427,booked ticket pongal,1
428,available like right around hillsborough amp lt gt th,1
429,message sent askin lt gt dollars shoul pay lt gt lt gt,1
430,ask g iouri told story like ten times already,1
431,long applebees fucking take,1
432,hi hope u get txt~journey hasnt gd mins late think,1
433,like love arrange,1
434,yes really great bhaji told kallis best cricketer sachin world tough get,2
435,supposed wake gt,1
436,oic saw tot din c found group liao,1
437,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx,1
438,sorry battery died come getting gram place,1
439,well done blimey exercise yeah kinda remember wot hmm,1
440,wont get concentration dear know mind everything,1
441,lol made plans new years,1
442,min later k,1
443,hanks lotsly,1
444,thanks hope good day today,1
445,k k detail want transfer acc enough,1
446,ok tell stay yeah tough optimistic things improve month,1
447,loan purpose £ £ homeowners tenants welcome previously refused still help call free text back help,3
448,si si think ill go make oreo truffles,1
449,look amy ure beautiful intelligent woman like u lot know u dont like like dont worry,1
450,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl,1
451,call cost guess isnt bad miss ya need ya want ya love ya,1
452,going thru different feeling wavering decisions coping individual time heal everything believe,1
453,u go phone gonna die stay,1
454,great never better day gives even reasons thank god,1
455,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july c apply opt available,1
456,sorry call later ok bye,1
457,ok way railway,1
458,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night,1
459,put stuff roads keep getting slippery,1
460,going ride bike,1
461,yup need jus wait e rain stop,1
462,many company tell language,1
463,okmail dear dave final notice collect * tenerife holiday cash award call landline tcs sae box cwwx ppm,1
464,long since screamed princess,1
465,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust ja person sending account details cos,1
466,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network txting moan nyt eca p msg p,1
467,nice line said broken heart plz cum times infront wise trust u good,1
468,ok gonna head usf like fifteen minutes,1
469,love aathi love u lot,3
470,tension ah machi problem,1
471,k pick another th done,1
472,guys getting back g said thinking staying mcr,1
473,almost see u sec,1
474,yo carlos friends already asking working weekend,1
475,watching tv lor,1
476,thank baby cant wait taste real thing,1
477,change fb jaykwon thuglyfe falconerf,1
478,win really side long time,1
479,free message activate free text messages replying message word free terms conditions visit www com,2
480,dear reached railway happen,1
481,depends quality want type sent boye faded glory want ralphs maybe,1
482,think fixed send test message,1
483,sorry man account dry would want could trade back half could buy shit credit card,1
484,sorry meeting call later,3
485,class lt gt reunion,1
486,free call,1
487,got meh,1
488,nope think go monday sorry replied late,1
489,told accenture confirm true,1
490,kate jackson rec center ish right,1
491,dear reache room,1
492,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,3
493,ü come,1
494,check nuerologist,1
495,lolnice went fish water,1
496,error,3
497,waiting e car dat bored wat cos wait outside got nothing home stuff watch tv wat,1
498,maybe westshore hyde park village place near house,1
499,know anthony bringing money school fees pay rent stuff like thats need help friend need,1
500,significance,1
501,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,4
502,latest g still scrounge ammo want give new ak try,1
503,prabha soryda realy frm heart sory,3
504,lol ok forgiven,1
505,jst change tat,1
506,guaranteed latest nokia phone gb ipod mp player £ prize txt word collect ibhltd ldnwh p mtmsgrcvd,2
507,competition,1
508,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt,1
509,credits topped http www bubbletext com renewal pin tgxxrz,1
510,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,1
511,usually person unconscious children adults may behave abnormally call,1
512,ebay might less elsewhere,1
513,shall come get pickle,2
514,gonna go get tacos,1
515,rude campus,1
516,urgent mobile awarded £ bonus caller prize nd attempt contact call boxqu,2
517,hi b ard christmas enjoy n merry x mas,1
518,today offer claim ur £ worth discount vouchers text yes savamob member offers mobile cs £ sub unsub reply x,2
519,yes pretty lady like single,1
520,recieve tone within next hrs terms conditions please see channel u teletext pg,1
521,jay says double faggot,1
522,private account statement shows un redeemed points call identifier code expires,9
523,today sunday sunday holiday work,3
524,late,4
525,called hoping lr malaria know miss guys miss bani big pls give love especially great day,1
526,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,1
527,probably gonna see later tonight lt,1
528,maybe fat fingers press buttons know,1
529,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,3
530,tirupur da started office call,1
531,www applausestore com monthlysubscription p msg max month csc web age stop txt stop,1
532,famous quote develop ability listen anything unconditionally without losing temper self confidence means married,1
533,going college pa else ill come self pa,1
534,oclock mine bash flat plan,1
535,girl stay bed girl need recovery time id rather pass fun cooped bed,1
536,special,1
537,know need get hotel got invitation apologise cali sweet come english bloke weddin,1
538,sorry took long omw,1
539,wait lt gt min,1
540,ok give minutes think see btw alibi cutting hair whole time,1
541,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,1
542,hurry weed deficient like three days,1
543,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,1
544,ok every night take warm bath drink cup milk see work magic still need loose weight know,1
545,i‘ll look frying pan case it‘s cheap book perhaps that‘s silly frying pan isn‘t likely book,1
546,well uv causes mutations sunscreen like essential thesedays,1
547,lunch online,1
548,know friend already told,1
549,hi princess thank pics pretty,1
550,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee,1
551,hi msg office,1
552,thanx e brownie v nice,1
553,geeeee love much barely stand,1
554,fuck babe miss already know let send money towards net need want crave,1
555,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh,1
556,oooh bed ridden ey thinking,1
557,anyways go gym whatever love *smiles* hope ok good day babe miss much already,1
558,love daddy make scream pleasure going slap ass dick,1
559,wot u wanna missy,1
560,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee,1
561,know lab goggles went,1
562,open door,1
563,waiting call,1
564,nope waiting sch daddy,1
565,cash prize claim call,1
566,tired arguing week week want,1
567,ü wait sch finish ard,1
568,mobile number £ claim calls us back ring claims hot line,1
569,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite,1
570,huh early ü dinner outside izzit,1
571,ok anyway need change said,1
572,tried contact reply offer mins textand new video phone call reply free delivery tomorrow,1
573,ex wife able kids want kids one day,1
574,scotland hope showing jjc tendencies take care live dream,1
575,tell u headache want use hour sick time,1
576,dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den,1
577,pete please ring meive hardly gotany credit,1
578,ya srsly better yi tho,1
579,meeting call later,3
580,ur chance win £ wkly shopping spree txt shop c www txt shop com custcare xp wk,2
581,specially selected receive pound award call lines close cost ppm cs apply ag promo,1
582,still grand prix,1
583,met stranger choose friend long world stands friendship never ends lets friends forever gud nitz,1
584,great,1
585,gud mrng dear nice day,1
586,important customer service announcement call freephone,2
587,exhausted train morning much wine pie sleep well,1
588,going buy mum present ar,1
589,mind blastin tsunamis occur rajnikant stopped swimming indian ocean,1
590,u sending home first ok lor ready yet,1
591,speaking cash yet,1
592,happy come noon,1
593,meet lunch la,1
594,take care n get well soon,1
595,xclusive clubsaisai morow soiree speciale zouk nichols paris free roses ladies info,1
596,meant say cant wait see u getting bored bridgwater banter,1
597,neva mind ok,1
598,fine imma get drink somethin want come find,1
599,days kick euro u kept date latest news results daily removed send get txt stop,1
600,valentine game send dis msg ur friends answers r someone really loves u ques colour suits best rply,1
601,many dependents,1
602,thanx today cer nice catch ave find time often oh well take care c u soon c,1
603,called said choose future,1
604,happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles st,1
605,like v shock leh cos telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor,1
606,family happiness,1
607,come n pick ü come immediately aft ur lesson,1
608,let snow let snow kind weather brings ppl together friendships grow,1
609,dear got lt gt dollars hi hi,1
610,good words words may leave u dismay many times,1
611,make sure alex knows birthday fifteen minutes far concerned,1
612,sorry got things may pub later,1
613,nah straight bring bud drinks something actually little useful straight cash,1
614,haha good hear officially paid market th,1
615,many licks take get center tootsie pop,1
616,yup thk r e teacher said make face look longer darren ask cut short,1
617,new textbuddy chat horny guys ur area p free receive search postcode gaytextbuddy com txt one name,1
618,todays vodafone numbers ending selected receive £ award number matches call receive £ award,2
619,please dont say like hi hi hi,1
620,thank u,1
621,oh forwarded message thought send,1
622,got seventeen pounds seven hundred ml – hope ok,1
